10	60	1.97	90.5	90.46	654.46	553.01	-120.48	83.05	-1205.49	70.42	43.52	1.24	56.74	58.91	0	170.54	99.8	124.62	72.87	74.86	56.77	14.74	654.46	36.47	0	0	0	211	108	0	32.46	0	211	108	0.26	0	0	0	-11.71	0	0	0	1884.83	0	-42.38	-156.96	0	0	0	0
20	66.39	1.89	90.46	90.46	647.39	549.96	-120.4	83.35	-1204.34	81.18	43.59	1.24	56.56	59.1	0	161.33	101.45	124.57	73.18	75.3	56.56	12.04	647.39	38.76	0	0	0	252	147	0	91.83	61.5	252	147	0.27	0	0	0	-11.7	0	0	0	1901.22	0	-42.39	-156.96	0	0	0	0
30	61.4	1.89	90.42	90.42	648.24	548.05	-120.4	83.51	-1204.73	79.97	43.59	1.23	56.52	59.14	0	164.59	100	124.57	73.05	74.78	56.25	11.01	648.24	36.74	0	0	0	267	162	0	92.86	61.42	267	162	0.27	0	0	0	-11.7	0	0	0	1906.69	0	-42.39	-157	0	0	0	0
40	60	1.97	90.5	90.46	654.46	553.01	-120.48	83.05	-1205.49	70.42	43.52	1.24	56.74	58.91	0	170.54	99.8	124.62	72.87	74.86	56.77	14.74	654.46	36.47	0	0	0	211	108	0	32.46	0	211	108	0.26	0	0	0	-11.71	0	0	0	1884.83	0	-42.38	-156.96	0	0	0	0
50	66.39	1.89	90.46	90.46	647.39	549.96	-120.4	83.35	-1204.34	81.18	43.59	1.24	56.56	59.1	0	161.33	101.45	124.57	73.18	75.3	56.56	12.04	647.39	38.76	0	0	0	252	147	0	91.83	61.5	252	147	0.27	0	0	0	-11.7	0	0	0	1901.22	0	-42.39	-156.96	0	0	0	0
60	61.4	1.89	90.42	90.42	648.24	548.05	-120.4	83.51	-1204.73	79.97	43.59	1.23	56.52	59.14	0	164.59	100	124.57	73.05	74.78	56.25	11.01	648.24	36.74	0	0	0	267	162	0	92.86	61.42	267	162	0.27	0	0	0	-11.7	0	0	0	1906.69	0	-42.39	-157	0	0	0	0
70	65.69	1.82	90.42	90.38	648.21	550.34	-120.44	83.58	-1204.34	79.68	43.67	1.24	56.52	59.14	0	164.35	99.98	124.57	73.29	74.98	56.05	9.99	648.21	37.61	0	0	0	282	175	0	93.88	62.3	282	175	0.26	0	0	0	-11.7	0	0	0	1884.83	0	-42.39	-156.96	0	0	0	0
80	65.6	1.82	90.38	90.34	646.01	549.58	-120.44	83.73	-1205.11	78.36	43.67	1.24	56.52	59.14	0	159.88	101.99	124.57	73.16	74.82	56.6	8.97	646.01	37.5	0	0	0	295	189	0	94.9	67.05	295	189	0.27	0	0	0	-11.7	0	0	0	1895.76	0	-42.39	-156.96	0	0	0	0
90	69.22	1.89	90.34	90.3	646.29	551.86	-120.44	83.85	-1205.49	77.59	43.59	1.24	56.56	59.14	0	159.81	101.85	124.57	73.36	75.41	56.29	7.95	646.29	38.11	0	0	0	308	203	0	95.92	70.18	308	203	0.27	0	0	0	-11.7	0	0	0	1890.29	0	-42.39	-156.96	0	0	0	0
100	66.45	1.89	90.3	90.27	646.86	552.63	-120.44	83.93	-1203.58	77.22	43.59	1.24	56.52	59.21	0	159.79	101.88	124.57	73.59	74.84	57.18	6.93	646.86	38.56	0	0	0	322	216	0	96.94	64.84	322	216	0.26	0	0	0	-11.69	0	0	0	1895.76	0	-42.39	-157.04	0	0	0	0
110	64.18	1.82	90.23	90.23	646.87	547.29	-120.44	84.04	-1204.73	76.93	43.67	1.23	56.11	59.17	0	159.78	101.5	124.6	73.7	75.37	56.92	5.92	646.87	37.5	0	0	0	336	230	0	97.95	66.92	336	230	0.27	0	0	0	-11.7	0	0	0	1895.76	0	-42.38	-156.96	0	0	0	0
120	67.65	1.82	90.19	90.19	646.69	548.81	-120.4	84.04	-1205.11	76.78	43.67	1.24	56.34	59.32	0	159.79	101.57	124.58	73.57	74.95	57.23	4.9	646.69	36.81	0	0	0	350	244	0	98.97	67.15	350	244	0.25	0	0	0	-11.7	0	0	0	1884.83	0	-42.39	-157.08	0	0	0	0
130	66.26	1.97	90.15	90.11	646.95	548.81	-120.44	84.27	-1204.73	90.11	43.52	1.23	56.34	59.21	0	159.78	101.57	124.53	73.76	75.18	57.15	3.89	646.95	35.06	0	0	0	363	258	0	99.98	66.56	363	258	0.26	0	0	0	-11.7	0	0	0	1884.83	0	-42.39	-156.96	0	0	0	0
140	66.13	2.12	90.08	90.04	647.26	547.67	-120.44	84.31	-1204.34	91.72	43.37	1.24	56.34	59.28	0	159.76	101.8	124.52	73.54	75.65	56.99	2.88	647.26	38.07	0	0	0	377	271	0	100.99	66.43	377	271	0.25	0	0	0	-11.7	0	0	0	1884.83	0	-42.39	-157	0	0	0	0
150	66.13	1.82	90	90.11	679.75	547.67	-120.44	84.46	-1205.11	76.97	43.67	1.24	56.34	59.36	0	159.75	101.81	157.05	73.52	75.47	57.15	1.87	679.75	36.58	0	0	0	390	285	0	102	67.03	390	285	0.27	0	0	0	-11.7	0	0	0	1884.83	0	-42.39	-156.96	0	0	0	0
160	66.04	1.66	89.96	89.96	647.36	544.62	-120.44	84.42	-1204.73	93.44	43.82	1.23	55.56	59.36	0	159.67	101.7	124.53	73.85	75.7	56.92	0.86	647.36	33.69	0	0	0	404	299	0	103.01	64.38	404	299	0.25	0	0	0	-11.69	0	0	0	1890.29	0	-42.39	-157	0	0	0	0
170	47.72	1.44	89.5	89.43	644.64	552.24	-120.44	85.37	-1206.25	99.26	44.05	1.24	56.97	58.69	0	157.25	101.66	124.53	73.81	75.46	56.92	-0.17	644.64	37.46	0	0	0	534	427	0	104.05	118.05	534	427	0.26	0	0	0	-11.71	0	0	0	472.57	0	-42.39	-157.08	0	0	0	0
180	67.88	1.44	89.5	89.39	644.38	549.96	-120.44	85.49	-1206.25	91.86	44.05	1.23	57.23	58.69	0	157.25	101.52	124.52	73.86	75.57	56.65	-1.18	644.38	32.01	0	0	0	544	437	0	105.05	94.2	544	437	0.26	0	0	0	-11.71	0	0	0	473.94	0	-42.39	-157	0	0	0	0
190	55.39	0.83	89.47	89.35	643.16	545.76	-120.44	85.53	-1204.73	9.15	44.65	1.23	56.56	58.69	0	156.04	101.61	124.45	73.86	75.31	56.89	-2.21	643.16	34.6	0	0	0	561	453	0	106.08	79.97	561	453	0.25	0	0	0	-11.72	0	0	0	472.57	0	-42.38	-157	0	0	0	0
200	60	1.66	89.62	89.5	644.64	546.91	-120.48	85.98	-1205.11	43.15	43.82	1.23	56.11	58.69	0	158.21	100.96	124.54	73.67	75.05	57.2	0.01	644.64	36.74	0	0	0	621	513	0	103.03	0	621	513	0.25	0	0	0	-11.72	0	0	0	471.21	0	-42.39	-157	0	0	0	0
210	69.77	1.13	89.66	89.73	643.55	547.67	-120.44	86.02	-1204.73	94.24	44.35	1.23	56.34	58.69	0	157.16	101.18	124.52	73.7	74.71	57.29	-1	643.55	36.35	0	0	0	630	522	0	109.01	44.25	630	522	0.27	0	0	0	-11.72	0	0	0	471.21	0	-42.39	-157.04	0	0	0	0
220	62.49	1.06	89.66	89.73	643.16	549.58	-120.48	86.17	-1204.73	90.25	44.42	1.23	56.56	58.69	0	157.16	100.76	124.5	73.77	75.05	56.92	-2.03	643.16	37.65	0	0	0	632	524	0	110.04	85.12	632	524	0.26	0	0	0	-11.71	0	0	0	473.94	0	-42.39	-157	0	0	0	0
230	60	1.97	90.5	90.46	654.46	553.01	-120.48	83.05	-1205.49	70.42	43.52	1.24	56.74	58.91	0	170.54	99.8	124.62	72.87	74.86	56.77	14.74	654.46	36.47	0	0	0	211	108	0	32.46	0	211	108	0.26	0	0	0	-11.71	0	0	0	1884.83	0	-42.38	-156.96	0	0	0	0
240	66.39	1.89	90.46	90.46	647.39	549.96	-120.4	83.35	-1204.34	81.18	43.59	1.24	56.56	59.1	0	161.33	101.45	124.57	73.18	75.3	56.56	12.04	647.39	38.76	0	0	0	252	147	0	91.83	61.5	252	147	0.27	0	0	0	-11.7	0	0	0	1901.22	0	-42.39	-156.96	0	0	0	0
250	61.4	1.89	90.42	90.42	648.24	548.05	-120.4	83.51	-1204.73	79.97	43.59	1.23	56.52	59.14	0	164.59	100	124.57	73.05	74.78	56.25	11.01	648.24	36.74	0	0	0	267	162	0	92.86	61.42	267	162	0.27	0	0	0	-11.7	0	0	0	1906.69	0	-42.39	-157	0	0	0	0
260	65.69	1.82	90.42	90.38	648.21	550.34	-120.44	83.58	-1204.34	79.68	43.67	1.24	56.52	59.14	0	164.35	99.98	124.57	73.29	74.98	56.05	9.99	648.21	37.61	0	0	0	282	175	0	93.88	62.3	282	175	0.26	0	0	0	-11.7	0	0	0	1884.83	0	-42.39	-156.96	0	0	0	0
